Nombre,Apellido,Email,Nota Final,Resultado
cruz,alfonso,calfon@educacion.navarra.es,3.36,Suspendido
rafael,canet,rcanet@educacion.navarra.es,6.73,Aprobado
amílcar,palomares,apalom@educacion.navarra.es,5.86,Aprobado
salomé,cepeda,sceped@educacion.navarra.es,7.25,Aprobado
cayetana,saez,csaez@educacion.navarra.es,2.91,Suspendido
hernando,gomis,hgomis@educacion.navarra.es,3.48,Suspendido
manuel,barreda,mbarre@educacion.navarra.es,7.15,Aprobado
emilio,vergara,everga@educacion.navarra.es,3.42,Suspendido
ciriaco adán,prada,cprada@educacion.navarra.es,5.01,Aprobado
toni,sierra,tsierr@educacion.navarra.es,3.2,Suspendido
anna,aguado,aaguad@educacion.navarra.es,8.07,Aprobado
maría fernanda,larrañaga,mlarra@educacion.navarra.es,7.09,Aprobado
fermín,guardia,fguard@educacion.navarra.es,3.52,Suspendido
amado,riera,ariera@educacion.navarra.es,6.7,Aprobado
íngrid,anglada,íangla@educacion.navarra.es,2.82,Suspendido
úrsula,mercader,úmerca@educacion.navarra.es,4.56,Suspendido
remedios,badía,rbadía@educacion.navarra.es,7.33,Aprobado
eva maría,roldán,eroldá@educacion.navarra.es,6.46,Aprobado
ildefonso jaume,seco,iseco@educacion.navarra.es,4.48,Suspendido
ana sofía,morillo,amoril@educacion.navarra.es,5.97,Aprobado
enrique,lloret,ellore@educacion.navarra.es,5.36,Aprobado
chus,estrada,cestra@educacion.navarra.es,7.92,Aprobado
adelina,garcía,agarcí@educacion.navarra.es,6.39,Aprobado
maribel,teruel,mterue@educacion.navarra.es,7.97,Aprobado
baltasar,ojeda,bojeda@educacion.navarra.es,7.34,Aprobado
cristian,garcia,cgarci@educacion.navarra.es,6.43,Aprobado
galo,lluch,glluch@educacion.navarra.es,3.69,Suspendido
felix,espejo,fespej@educacion.navarra.es,4.71,Suspendido
herminio,cámara,hcámar@educacion.navarra.es,4.74,Suspendido
cornelio,tolosa,ctolos@educacion.navarra.es,6.33,Aprobado
remigio isidro,alcalá,ralcal@educacion.navarra.es,3.49,Suspendido
quirino,teruel,qterue@educacion.navarra.es,5.28,Aprobado
natalia aroa,suarez,nsuare@educacion.navarra.es,7.07,Aprobado
socorro,benavente,sbenav@educacion.navarra.es,7.65,Aprobado
iris,jiménez,ijimén@educacion.navarra.es,7.52,Aprobado
pío,nadal,pnadal@educacion.navarra.es,4.81,Suspendido
aitana,corral,acorra@educacion.navarra.es,6.2,Aprobado
faustino,ibañez,fibañe@educacion.navarra.es,6.95,Aprobado
paola,bello,pbello@educacion.navarra.es,6.43,Aprobado
severiano,guzman,sguzma@educacion.navarra.es,7.37,Aprobado
esteban,mariño,emariñ@educacion.navarra.es,4.25,Suspendido
urbano,lladó,ulladó@educacion.navarra.es,6.47,Aprobado
sara,ruiz,sruiz@educacion.navarra.es,6.96,Aprobado
dolores,amores,damore@educacion.navarra.es,8.44,Aprobado
camilo,landa,clanda@educacion.navarra.es,7.79,Aprobado
ibán,lasa,ilasa@educacion.navarra.es,4.67,Suspendido
yésica,cases,ycases@educacion.navarra.es,8.43,Aprobado
josé,salazar,jsalaz@educacion.navarra.es,7.51,Aprobado
susana,luna,sluna@educacion.navarra.es,3.91,Suspendido
paulina,zapata,pzapat@educacion.navarra.es,4.13,Suspendido
